ID,Name,Level,ItemType,Rareness,Clan,Description1,Description2,Description3,LevelRequirement,HonorPointReq,PurchasePrice,SalePrice,DisplayItem2D,Strength,Dexterity,Vitality,Chi,Luck,Damage,Defense,LightDamage,ShadowDamage,DarkDamage,LightResistance,ShawdowResistance,DarkResistance,ChancetoHit,ChancetoDodge,PercentToDeadlyBlow,ValueType,Value1,SkillBonusID1,SkillBonusID2,SkillBonusID3,SkillBonusAmount1,SkillBonusAmount2,SkillBonusAmount3
1596,Red Phoenix Blade,88,14,1,2,,,,88,-912,522090,174030,237,0,0,0,0,0,468,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0
1597,Falling Heaven Blade,89,14,1,2,,,,89,-911,519200,173060,240,0,0,0,0,0,473,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0
1598,Falling Heaven Blade,90,14,1,2,,,,90,-910,518180,172720,240,0,0,0,0,0,478,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
1599,Light Throwing Marble,1,15,1,2,,,,1,-999,40,30,241,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1600,Light Throwing Marble,5,15,1,2,,,,5,-995,190,60,241,0,0,0,0,0,25,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1601,Red Glow Throwing Marble,9,15,1,2,,,,9,-991,490,160,242,0,0,0,0,0,45,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
1602,Sun Ray Throwing Marble,13,15,1,2,,,,13,-987,1250,410,243,0,0,0,0,0,65,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
1603,Purple Flare Marble,16,15,1,2,,,,16,-984,3190,1060,244,0,0,0,0,0,80,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
1604,Purple Flare Marble,19,15,1,2,,,,19,-981,6880,2290,244,0,0,0,0,0,95,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
1605,Moon Light Marble,22,15,1,2,,,,22,-978,12750,4250,245,0,0,0,0,0,111,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
1606,Kirin Throwing Marble,25,15,1,2,,,,25,-975,21130,7040,246,0,0,0,0,0,126,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
1607,Kirin Throwing Marble,28,15,1,2,,,,28,-972,32230,10740,246,0,0,0,0,0,141,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
1608,Destructive Sky Marble,31,15,1,2,,,,31,-969,46280,15420,247,0,0,0,0,0,156,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
1609,Diamond Throwing Marble,34,15,1,2,,,,34,-966,63320,21100,248,0,0,0,0,0,171,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
1610,Diamond Throwing Marble,37,15,1,2,,,,37,-963,83390,27790,248,0,0,0,0,0,186,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
1611,Tiger Throwing Marble,39,15,1,2,,,,39,-961,98430,32810,249,0,0,0,0,0,196,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
1612,Tiger Throwing Marble,41,15,1,2,,,,41,-959,114730,38240,249,0,0,0,0,0,207,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
1613,Purple Light Marble,43,15,1,2,,,,43,-957,132270,44090,250,0,0,0,0,0,217,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
1614,Sun Beam Throwing Marble,45,15,1,2,,,,45,-955,150960,50320,251,0,0,0,0,0,227,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
1615,Sun Beam Throwing Marble,47,15,1,2,,,,47,-953,170710,56900,251,0,0,0,0,0,237,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
1616,Black Ink Marble,49,15,1,2,,,,49,-951,191450,63810,252,0,0,0,0,0,247,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
1617,Black Ink Marble,51,15,1,2,,,,51,-949,213030,71010,252,0,0,0,0,0,257,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
1618,Silver Throwing Marble,53,15,1,2,,,,53,-947,235350,78450,253,0,0,0,0,0,267,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
1619,Silver Throwing Marble,55,15,1,2,,,,55,-945,258230,86070,253,0,0,0,0,0,277,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
1620,Orchid Pattern Marble,57,15,1,2,,,,57,-943,281540,93840,254,0,0,0,0,0,287,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
1621,Orchid Pattern Marble,59,15,1,2,,,,59,-941,305080,101690,254,0,0,0,0,0,297,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
1622,Blue Tiger Marble,61,15,1,2,,,,61,-939,328670,109550,255,0,0,0,0,0,308,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
1623,Devil Bomb,63,15,1,2,,,,63,-937,352100,117360,256,0,0,0,0,0,318,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
1624,Devil Bomb,65,15,1,2,,,,65,-935,375140,125040,256,0,0,0,0,0,328,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
1625,Yin Yang Throwing Marble,67,15,1,2,,,,67,-933,397560,132520,257,0,0,0,0,0,338,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
1626,Yin Yang Throwing Marble,69,15,1,2,,,,69,-931,419090,139690,257,0,0,0,0,0,348,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
1627,Yin Yang Throwing Marble,70,15,1,2,,,,70,-930,429440,143140,257,0,0,0,0,0,353,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
1628,Eight Pattern Marble,71,15,1,2,,,,71,-929,439490,146490,258,0,0,0,0,0,358,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
1629,Eight Pattern Marble,72,15,1,2,,,,72,-928,449150,149710,258,0,0,0,0,0,363,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
1630,Sudden Thunder Marble,73,15,1,2,,,,73,-927,458430,152810,259,0,0,0,0,0,368,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
1631,Sudden Thunder Marble,74,15,1,2,,,,74,-926,467270,155750,259,0,0,0,0,0,373,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0
1632,Sudden Thunder Marble,75,15,1,2,,,,75,-925,475650,158550,259,0,0,0,0,0,378,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0
1633,Diamond Throwing Marble,76,15,1,2,,,,76,-924,483510,161170,260,0,0,0,0,0,383,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
1634,Diamond Throwing Marble,77,15,1,2,,,,77,-923,490820,163600,260,0,0,0,0,0,388,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0
1635,Dragon Kings Marble,78,15,1,2,,,,78,-922,497520,165840,261,0,0,0,0,0,393,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0
1636,Dragon Kings Marble,79,15,1,2,,,,79,-921,503600,167860,261,0,0,0,0,0,398,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
1637,Dragon Kings Marble,80,15,1,2,,,,80,-920,508990,169660,261,0,0,0,0,0,404,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
1638,Superior Diamond Marble,81,15,1,2,,,,81,-919,513660,171220,262,0,0,0,0,0,409,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
1639,Superior Diamond Marble,82,15,1,2,,,,82,-918,517550,172510,262,0,0,0,0,0,414,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0
1640,Superior Diamond Marble,83,15,1,2,,,,83,-917,520610,173530,262,0,0,0,0,0,419,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0
1641,Diamond King Marble,84,15,1,2,,,,84,-916,522820,174270,263,0,0,0,0,0,424,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
1642,Diamond King Marble,85,15,1,2,,,,85,-915,524110,174700,263,0,0,0,0,0,429,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
1643,Magnolia Throwing Marble,86,15,1,2,,,,86,-914,524430,174810,267,0,0,0,0,0,434,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
1644,Magnolia Throwing Marble,87,15,1,2,,,,87,-913,523730,174570,267,0,0,0,0,0,439,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0
1645,Magnolia Throwing Marble,88,15,1,2,,,,88,-912,521970,173990,267,0,0,0,0,0,444,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0
1646,Dragon And Kirin Marble,89,15,1,2,,,,89,-911,519080,173020,268,0,0,0,0,0,449,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0
1647,Dragon And Kirin Marble,90,15,1,2,,,,90,-910,518060,172680,268,0,0,0,0,0,454,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
1648,Robe,1,9,1,2,,,,1,-699,40,30,31,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1649,Robe,5,9,1,2,,,,5,-695,100,30,31,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1650,Silk Robe,9,9,1,2,,,,9,-691,340,110,33,0,0,0,0,0,0,25,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1651,Path To Heaven Robe,13,9,1,2,,,,13,-687,1040,340,35,0,0,0,0,0,0,36,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
1652,Blue Pear Robe,16,9,1,2,,,,16,-684,2920,970,37,0,0,0,0,0,0,45,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
1653,Blue Pear Robe,19,9,1,2,,,,19,-681,6560,2180,37,0,0,0,0,0,0,53,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1654,Navy Silk Robe,22,9,1,2,,,,22,-678,12380,4120,39,0,0,0,0,0,0,62,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
1655,Red Silk Robe,25,9,1,2,,,,25,-675,20700,6900,41,0,0,0,0,0,0,70,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
1656,Red Silk Robe,28,9,1,2,,,,28,-672,31760,10580,41,0,0,0,0,0,0,79,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
1657,Black Silk Robe,31,9,1,2,,,,31,-669,45760,15250,43,0,0,0,0,0,0,87,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
1658,Dark Breeze Robe,34,9,1,2,,,,34,-666,62750,20910,45,0,0,0,0,0,0,96,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
1659,Dark Breeze Robe,37,9,1,2,,,,37,-663,82760,27580,45,0,0,0,0,0,0,104,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
1660,Purple Cloud Robe,39,9,1,2,,,,39,-661,97770,32590,47,0,0,0,0,0,0,110,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
1661,Purple Cloud Robe,41,9,1,2,,,,41,-659,114040,38010,47,0,0,0,0,0,0,115,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
1662,Red Cloud Robe,43,9,1,2,,,,43,-657,131540,43840,49,0,0,0,0,0,0,121,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
1663,Apricot Robe,45,9,1,2,,,,45,-655,150200,50060,51,0,0,0,0,0,0,127,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
1664,Apricot Robe,47,9,1,2,,,,47,-653,169920,56640,51,0,0,0,0,0,0,132,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
1665,Horse Robe,49,9,1,2,,,,49,-651,190630,63540,53,0,0,0,0,0,0,138,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
1666,Horse Robe,51,9,1,2,,,,51,-649,212180,70720,53,0,0,0,0,0,0,144,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
1667,Blue Moon Battle Robe,53,9,1,2,,,,53,-647,234450,78150,55,0,0,0,0,0,0,149,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
1668,Blue Moon Battle Robe,55,9,1,2,,,,55,-645,257300,85760,55,0,0,0,0,0,0,155,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
1669,Blue Cloud Robe,57,9,1,2,,,,57,-643,280580,93520,59,0,0,0,0,0,0,161,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
1670,Blue Cloud Robe,59,9,1,2,,,,59,-641,304090,101360,59,0,0,0,0,0,0,166,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
1671,Loyalty Robe,61,9,1,2,,,,61,-639,327640,109210,61,0,0,0,0,0,0,172,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
1672,Genesis Robe,63,9,1,2,,,,63,-637,351030,117010,63,0,0,0,0,0,0,178,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
1673,Genesis Robe,65,9,1,2,,,,65,-635,374040,124680,63,0,0,0,0,0,0,183,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
1674,Wisdom Robe,67,9,1,2,,,,67,-633,396430,132140,65,0,0,0,0,0,0,189,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
1675,Wisdom Robe,69,9,1,2,,,,69,-631,417930,139310,65,0,0,0,0,0,0,195,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
1676,Wisdom Robe,70,9,1,2,,,,70,-630,428260,142750,65,0,0,0,0,0,0,197,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
1677,Gold Dragon Robe,71,9,1,2,,,,71,-629,438280,146090,67,0,0,0,0,0,0,200,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
1678,Gold Dragon Robe,72,9,1,2,,,,72,-628,447930,149310,67,0,0,0,0,0,0,203,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
1679,Justice Robe,73,9,1,2,,,,73,-627,457190,152390,69,0,0,0,0,0,0,206,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
1680,Justice Robe,74,9,1,2,,,,74,-626,466020,155340,69,0,0,0,0,0,0,209,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
1681,Justice Robe,75,9,1,2,,,,75,-625,474380,158120,69,0,0,0,0,0,0,212,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
1682,Flying Crane Robe,76,9,1,2,,,,76,-624,482230,160740,71,0,0,0,0,0,0,214,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
1683,Flying Crane Robe,77,9,1,2,,,,77,-623,489520,163170,71,0,0,0,0,0,0,217,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
1684,Heavenly Earth Robe,78,9,1,2,,,,78,-622,496210,165400,73,0,0,0,0,0,0,220,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
1685,Heavenly Earth Robe,79,9,1,2,,,,79,-621,502270,167420,73,0,0,0,0,0,0,223,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
1686,Heavenly Earth Robe,80,9,1,2,,,,80,-620,507640,169210,73,0,0,0,0,0,0,226,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
1687,Seven Star Robe,81,9,1,2,,,,81,-619,512290,170760,75,0,0,0,0,0,0,229,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
1688,Seven Star Robe,82,9,1,2,,,,82,-618,516160,172050,75,0,0,0,0,0,0,231,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
1689,Seven Star Robe,83,9,1,2,,,,83,-617,519210,173070,75,0,0,0,0,0,0,234,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
1690,Peach Blossom Robe,84,9,1,2,,,,84,-616,521400,173800,77,0,0,0,0,0,0,237,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
1691,Peach Blossom Robe,85,9,1,2,,,,85,-615,522680,174220,77,0,0,0,0,0,0,240,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
1692,Black Lotus Robe,86,9,1,2,,,,86,-614,522980,174320,83,0,0,0,0,0,0,243,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
1693,Black Lotus Robe,87,9,1,2,,,,87,-613,522270,174090,83,0,0,0,0,0,0,246,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
1694,Black Lotus Robe,88,9,1,2,,,,88,-612,520480,173490,83,0,0,0,0,0,0,248,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
1695,Dark Cloud Robe,89,9,1,2,,,,89,-611,517580,172520,87,0,0,0,0,0,0,251,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
1696,Dark Cloud Robe,90,9,1,2,,,,90,-610,516530,172170,87,0,0,0,0,0,0,254,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
1697,Wrist Gloves,1,10,1,2,,,,1,-399,40,30,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1698,Wrist Gloves,5,10,1,2,,,,5,-395,70,30,91,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
1699,Silk Wrist Gloves,9,10,1,2,,,,9,-391,240,80,92,0,0,0,0,0,0,7,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
1700,Path To Heaven Gloves,13,10,1,2,,,,13,-387,730,240,93,0,0,0,0,0,0,10,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
1701,Blue Pear Gloves,16,10,1,2,,,,16,-384,2040,680,94,0,0,0,0,0,0,12,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
1702,Blue Pear Gloves,19,10,1,2,,,,19,-381,4600,1530,94,0,0,0,0,0,0,15,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
1703,Navy Silk Gloves,22,10,1,2,,,,22,-378,8660,2880,95,0,0,0,0,0,0,17,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
1704,Red Silk Gloves,25,10,1,2,,,,25,-375,14490,4830,96,0,0,0,0,0,0,20,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
1705,Red Silk Gloves,28,10,1,2,,,,28,-372,22240,7410,96,0,0,0,0,0,0,22,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
1706,Black Silk Gloves,31,10,1,2,,,,31,-369,32040,10680,97,0,0,0,0,0,0,25,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
1707,Dark Breeze Gloves,34,10,1,2,,,,34,-366,43930,14640,98,0,0,0,0,0,0,27,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
1708,Dark Breeze Gloves,37,10,1,2,,,,37,-363,57940,19310,98,0,0,0,0,0,0,29,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
1709,Purple Cloud Gloves,39,10,1,2,,,,39,-361,68450,22810,99,0,0,0,0,0,0,31,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
1710,Purple Cloud Gloves,41,10,1,2,,,,41,-359,79840,26610,99,0,0,0,0,0,0,33,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0
1711,Red Cloud Gloves,43,10,1,2,,,,43,-357,92090,30690,100,0,0,0,0,0,0,34,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0
1712,Apricot Gloves,45,10,1,2,,,,45,-355,105150,35050,101,0,0,0,0,0,0,36,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0
1713,Apricot Gloves,47,10,1,2,,,,47,-353,118960,39650,101,0,0,0,0,0,0,37,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0
1714,Horse Gloves,49,10,1,2,,,,49,-351,133450,44480,102,0,0,0,0,0,0,39,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0
1715,Horse Gloves,51,10,1,2,,,,51,-349,148530,49510,102,0,0,0,0,0,0,41,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0
1716,Blue Moon Gloves,53,10,1,2,,,,53,-347,164130,54710,103,0,0,0,0,0,0,42,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0
1717,Blue Moon Gloves,55,10,1,2,,,,55,-345,180130,60040,103,0,0,0,0,0,0,44,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0
1718,Blue Cloud Gloves,57,10,1,2,,,,57,-343,196420,65470,105,0,0,0,0,0,0,46,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0
1719,Blue Cloud Gloves,59,10,1,2,,,,59,-341,212870,70950,105,0,0,0,0,0,0,47,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0
1720,Loyalty Gloves,61,10,1,2,,,,61,-339,229370,76450,106,0,0,0,0,0,0,49,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0
1721,Genesis Gloves,63,10,1,2,,,,63,-337,245740,81910,107,0,0,0,0,0,0,50,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0
1722,Genesis Gloves,65,10,1,2,,,,65,-335,261850,87280,107,0,0,0,0,0,0,52,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0
1723,Wisdom Gloves,67,10,1,2,,,,67,-333,277520,92500,108,0,0,0,0,0,0,54,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0
1724,Wisdom Gloves,69,10,1,2,,,,69,-331,292570,97520,108,0,0,0,0,0,0,55,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0
1725,Wisdom Gloves,70,10,1,2,,,,70,-330,299800,99930,108,0,0,0,0,0,0,56,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0
1726,Yellow Silk Gloves,71,10,1,2,,,,71,-329,306820,102270,109,0,0,0,0,0,0,57,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0
1727,Yellow Silk Gloves,72,10,1,2,,,,72,-328,313570,104520,109,0,0,0,0,0,0,58,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0
1728,Justice Gloves,73,10,1,2,,,,73,-327,320060,106680,110,0,0,0,0,0,0,58,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0
1729,Justice Gloves,74,10,1,2,,,,74,-326,326230,108740,110,0,0,0,0,0,0,59,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0
1730,Justice Gloves,75,10,1,2,,,,75,-325,332090,110690,110,0,0,0,0,0,0,60,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0
1731,Flying Crane Gloves,76,10,1,2,,,,76,-324,337580,112520,111,0,0,0,0,0,0,61,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0
1732,Flying Crane Gloves,77,10,1,2,,,,77,-323,342680,114220,111,0,0,0,0,0,0,62,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0
1733,Heavenly Earth Gloves,78,10,1,2,,,,78,-322,347370,115790,112,0,0,0,0,0,0,63,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0
1734,Heavenly Earth Gloves,79,10,1,2,,,,79,-321,351610,117200,112,0,0,0,0,0,0,63,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0
1735,Heavenly Earth Gloves,80,10,1,2,,,,80,-320,355370,118450,112,0,0,0,0,0,0,64,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0
1736,Seven Star Gloves,81,10,1,2,,,,81,-319,358620,119540,113,0,0,0,0,0,0,65,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0
1737,Seven Star Gloves,82,10,1,2,,,,82,-318,361330,120440,113,0,0,0,0,0,0,66,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0
1738,Seven Star Gloves,83,10,1,2,,,,83,-317,363470,121150,113,0,0,0,0,0,0,67,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0
1739,Peach Blossom Gloves,84,10,1,2,,,,84,-316,365000,121660,114,0,0,0,0,0,0,67,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0
1740,Peach Blossom Gloves,85,10,1,2,,,,85,-315,365890,121960,114,0,0,0,0,0,0,68,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0
1741,Black Lotus Gloves,86,10,1,2,,,,86,-314,366110,122030,117,0,0,0,0,0,0,69,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0
1742,Black Lotus Gloves,87,10,1,2,,,,87,-313,365610,121870,117,0,0,0,0,0,0,70,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0
1743,Black Lotus Gloves,88,10,1,2,,,,88,-312,364360,121450,117,0,0,0,0,0,0,71,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0
1744,Dark Cloud Gloves,89,10,1,2,,,,89,-311,362330,120770,119,0,0,0,0,0,0,71,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0
1745,Dark Cloud Gloves,90,10,1,2,,,,90,-310,361600,120530,119,0,0,0,0,0,0,72,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0
1746,Black Leather Boots,1,12,1,2,,,,1,-299,40,30,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1747,Black Leather Boots,5,12,1,2,,,,5,-295,40,30,151,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1748,Silk Boots,9,12,1,2,,,,9,-291,160,50,152,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1749,Path To Heaven Boots,13,12,1,2,,,,13,-287,490,160,153,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
1750,Blue Pear Boots,16,12,1,2,,,,16,-284,1430,470,154,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
1751,Blue Pear Boots,19,12,1,2,,,,19,-281,3240,1080,154,0,0,0,0,0,0,7,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
1752,Navy Silk Boots,22,12,1,2,,,,22,-278,6150,2050,155,0,0,0,0,0,0,8,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
1753,Red Silk Boots,25,12,1,2,,,,25,-275,10310,3430,156,0,0,0,0,0,0,10,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
1754,Red Silk Boots,28,12,1,2,,,,28,-272,15830,5270,156,0,0,0,0,0,0,11,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
1755,Black Silk Boots,31,12,1,2,,,,31,-269,22830,7610,157,0,0,0,0,0,0,12,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
1756,Dark Breeze Boots,34,12,1,2,,,,34,-266,31320,10440,158,0,0,0,0,0,0,13,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
