ID,Name,Chat1,Chat2,Chat3,Chat4,Chat5
128,"수비대장 사마공","자네 강하다고 들었네.", "사파의 이인자인 상관엽 대인께서 인정한 실력이라니", "헛소문은 아니겠지..", "언제 시간이 나면 나랑 한번 붙어보자구.", "싸움이라면 나는 사족을 못쓰니까 말이야.."
129,"수비대장 사공완","관문을 지킨다는 것은 정말 빌어먹을 일이야.", "오가는 모든 이들을 의심스럽게 지켜봐야 한다네.", "게다가 작은 것 하나에도 민감하게 대처해야하니..", "어지간한 자가 아니라면 절대 수비대를 할 순 없지.", " "
130,"수비대장 한사월","나는 세상에서 천신밀교가 제일 싫네.", "자네 사부이신 혈류천살님도 마찬가지 이유일게야.", "대체 저 놈들은 어떤 긍지라는 것이 보이질 않아.", "오로지 싸우기만 하는 인형들만 양산해낼 뿐이야.", "그렇지 않은가?"
131,"수비대장 사공명","사공완은 내 동생이기도 하지.", "내 동생이기는 하지만 정말 대단한 놈이라네.", "예전에 치명적인 부상만 입지 않았어도 지금쯤이면", "수비대장이 아닌 더 괜찮은 일을 하고 있을지도", "모른다네. 자네처럼 말이야.."
132,"추적대 조숭","..", "그래 내가 바로 조숭이네.", "무슨일인가?", "", ""
133,"금월사신","..", "", "", "", ""
134,"벽무도 진자성","지금은 비록 누명을 써 도망자의 신세이지만..", "언젠가는 내 스스로 이 누명을 벗고 말겠네.", "그러기 위해서는 이 동굴 어딘가에 숨은 이연웅을", "반드시 내 손으로 잡아야만 해.", ""
135,"설산낙안 설시은","마검은 결국 그 소유자를 파멸로 이끄는 것..", "지금 이 동굴에 숨은 이연웅을 봐도 잘 알텐데..", "왜 어리석은 자들은 아직도 그것에 집착을 버리지를", "못하는 것일까..?", ""
136,"뇌광철장 천평","나는 강호에 일어나는 어떤 일에도 관심이 없다.", "다만 내 친구와의 약속을 지키기 위해 이곳에", "왔을뿐...", "", ""
137,"노원군","노부의 안경이 신기해 보이나?", "낄낄낄..", "이건 쉽게 구할 수 없는 물건이기도 하지.", "노부처럼 세상 여러 곳을 방랑해 본 자만이 이런", "진귀한 걸 구할 수가 있다네."
138,"적룡자","노부는 이 세상의 끝이 어디인지를 찾아 여행해", "봤다네.", "그런데 이 빌어먹을 세상이 말이야..", "도무지 끝이 보이질 않아.", "돌고 또 돌아서 결국 여기까지 왔지."
139,"갈노생","노부가 젊었을 때에는 적룡과 노원군 그 녀석들과", "세상 너머의 무언가를 찾아 여행을 했었지. ", "지금 돌이켜보면 그건 객기에 불과했다네.", "하지만 분명 재미있던 시절이었어.. 허허허", ""
140,"상도자","노부가 못 파는 물건은 아무 것도 없지.", "노부가 마음만 먹는다면 나라의 황제라 하더라도", "깜쪽같이 속일 수가 있단 말이야.", "자네도 노부의 상도를 배우고 싶지 않은가?", ""
141,"무불상","장사가 잘 안되는가?", "그렇다면 노부에게 맡겨보게나.", "자네가 원한다면 다 떨어진 신발까지도 천금을 얻게", "해 줄테니 말이야.", "낄낄낄.."
142,"천매노인","노부의 별호가 왜 천매노인인줄 아는가?", "바로 노부의 상술이 워낙 기상천외해서 하늘마저도", "팔 수 있다 하여 사람들이 붙인 별호라네.", "못 믿겠다면 한번 시험해 보게나.", "지금 갖고 있는 그 물건을 한번 맡겨보게!!"
143,"상제선생","자네 장사 수완이 좀 모자라 보이는군.", "원한다면 노부가 그 물건을 대신 팔아줄 수 있는데", "말이야..", "잘 생각해보게나.", ""
144,"노광자 남궁백","자네가 물론 노부보다 무공은 훨씬 뛰어날지도", "모르겠지만 아마 이 주사위 승부만큼은 상대가", "되지 않을걸세.. 낄낄낄..", "못 믿겠다면 한번 시험해보게나.", ""
145,"도선생 가룡","나는 도박에 미쳐 가족과 모든 걸 잃었지.", "하지만 그 덕분에 신기에 가까운 도박 기술을", "얻게 되었다네..", "뭐 어차피 지나간 일이고..", "어서 이 노부와 주사위 승부나 하자고!!"
146,"도군자 추걸","쳇.. 이제 이 도박판을 떠나야겠군.", "아무도 노부를 이길 상대가 없으니 이거야 원", "심심해서 살 수가 있어야지..", "자네.. 소질이 있어보이는데 한번 노부에게", "도전해 보겠나?"
147,"가연소저","여기는 사람이 너무 많은 것 같아요.", "나는 어떤 사람을 기다리고 있답니다.", "그 사람에게 줄 것이 있거든요.", "", ""
148,"공아","냐아아아~~", "", "", "", ""
149,"청아","냐아아아~~", "", "", "", ""
150,"단아","냐아아아~~", "", "", "", ""
151,"금붕무사","혹시 금호군에 대해서 들어보셨습니까?", "저희와는 다르게 검황 어르신의 호위를 맡고 있는", "호위무사들이죠. 충원호법이신 용검천 대인의 지휘", "아래 쟁쟁한 인물들이 많습니다.", ""
152,"호귀당원","춥지 않냐고 물었소?", "이정도 추위에 벌벌 떤다면야 어찌 패도성을 지키는", "호귀당원이라 할 수 있겠소.", "근무에 방해되니 좀 비켜주시구려.", ""
153,"봉문야차","본성은 강한 결계가 형성되어있어 귀마들이 절대로", "들어올 수 없지. 겁 없는 녀석들은 모두 오라하게!!", "봉문야차의 무서움을 가르쳐주지.", "흐흐흐흐..", ""
