id, Name, Level, Clan, QuestNumber, NextQuest, Unknown4, Unknown4a, Unknown5, InQuestDestPacket1, Unknown7, Unknown8, FromNPCID, Unknown10, Unknown11, Unknown12, Unknown13, Unknown14, ToNPCID, MonsterID, Value, Unknown17, Unknown18, RewardType, RewardValue, Text1, Text2, Text3, Text4, Text5, Text6, Text7, Text8, Text9, Text10
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","we'll meet again next time.","",""
23,"[Way of Killer] Delivering the message to Jangson.",22,2,6,24,1,3,0,0,0,0,22,0,0,0,0,0,41,512,0,0,0,1,0,"Deliver this message to Jangson.","Leave quickly!!","","","","","","Hmm..","","Come, I have an urgent matter."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"It's an important message, so rather than using a","Deliver the message to Manpok Falls Jangson.","","","","","","I read the message well.","","Hmm.. its almost time for the message to arrive.."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"carrier pigeon that can be caught by the enemy, ","","","","","","","Likewise, the Qi's movement is extraordinary.","","Still far away? Its taking longer than I thought."
--,,,,,,,,,,,,,,,,,,,,,,,,,"it would be better if you deliver it personally.","","","","","","","How inevitable that the Fujin   ","","If its this late, it would be difficult."
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","get in this serious mess.. this is trouble.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","Sangwan, that fellow. He'll have a headache.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","Anyways, you put in a great service.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","Its fortunate for Sangwan to have a trustworthy ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","apprentice like you.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
24,"[Way of Killer] Obtainment of the 'secret letter'.",22,2,7,25,2,2,0,0,0,0,41,0,0,0,0,0,41,513,0,0,0,6,490,"All I'm asking of you is to see if you can learn","I'm not sure who's transporting the secret letter.","","","","","","oh.. you really brought it!!","Hmm..","You..  If you have the time, can you help me out?"
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"something about the enemies at Manpok Falls..","Extreme confidentiality required is its reason.","","","","","","I couldn't be sure if you would be able to get it","I ordered you to do a task that was too hard.","Ha..  I'll see how good Sangwan's apprentice is.."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"The enemies are certainly exchanging messages.","You don't have to go through this if you think ","","","","","","back. Although I'm the one who told you to do it,","Don't be disappointed.. Even I thinks that there","Someone in Manpok Falls will have it.."
--,,,,,,,,,,,,,,,,,,,,,,,,,"Since I haven't seen any carrier pigeons, it seems","it's impossible. It could be a waste of time.","","","","","","I knew it was an impossible mission.","was only a small chance of succeeding.","If you think that its too difficult, you can quit."
--,,,,,,,,,,,,,,,,,,,,,,,,,"that they too have messengers that deliver ","How do we know who in Manpok Falls has the ","","","","","","It's such a difficult task..","Anyway, good work..  I'll see you again.",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"the messages personally..","letter? To tell you the truth, we need luck.","","","","","","Sangwan has a taste in selecting individuals.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Will you be able to snatch their 'secret letter'?","Huh Huh Huh..","","","","","","Once the letter is decoded, ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"If we get that information, it will greatly affect ","","","","","","","we'll have the edge. ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"their communication, and also help us in finding ","","","","","","","You really did an excellent job..","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"the information about the enemy. It means we have ","","","","","","","This is one of the items that I  cherish, but","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"chance to kill two birds with one stone. ","","","","","",""," will give it to you.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"You don't have to do it if you think it's hard.","","","","","","","A person in your standard deserves to use it.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Actually the information is very meager..","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"According to the latest information, one of the ","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"enemies in Manpok Falls has possession of it.","","","","","","","","",""
25,"[Way of Killer] Subjugation of Deity Squad Leader.",24,2,8,26,1,1,0,0,0,0,22,0,0,0,0,0,22,31,50,0,0,4,6734,"The condition of the search team stationed at ","Go to Manpok Falls and kill Deity Squad Leader.","","","","","","It seems that the mission was successful.","","Come and see me for a minute."
--,,,,,,,,,,,,,,,,,,,,,,,5,1,"Manpok Falls doesn't seem too good.","It will not be that difficult of task. ","","","","","","You look like you're a killer again.","","Such Deity Squad Leader.."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"Deity Squad Leader are making it difficult.","","","","","","","is recovering the lost effort all that is left?","","Kill them all!!"
--,,,,,,,,,,,,,,,,,,,,,,,,,"go and help them find a way out.","","","","","","","Don't think so hastily.","","Come and see me after you're done."
--,,,,,,,,,,,,,,,,,,,,,,,,,"Deity Squad Leader numerous, but it shouldn't","","","","","","","Until you can control 'that' of your inner self, ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"be too difficult to defeat them.","","","","","","","it's possible to carry out the accomplishment","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","slowly and intensively.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
26,"[Way of Killer] Retrieve the 'Silk Goods'",26,2,9,27,1,2,0,0,0,0,26,0,0,0,0,0,26,514,0,0,0,4,17094,"Why are the convoy of Carrier so incompetent?","I'm asking for a favor. I will pay you for sure.","","","","","","Ah Ah..  Thank You so much!!","","Long time no see.. Can I ask for one favor?"
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"Everyone of them are good for nothing!!","Please recover the goods from Red Demon.","","","","","","I knew that you will be able to help.","","Since it's an urgent matter, I beg you¡¦"
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"They're always getting robbed by the thieves..","We urgently need them.. I beg you.","","","","","","Thank you.  This here is for your great work ","","Just need to retrieve the goods.."
--,,,,,,,,,,,,,,,,,,,,,,,,,"If this keeps up, we really can't do business!","","","","","","","so, please don't refuse.","","I'll be expecting good news.."
--,,,,,,,,,,,,,,,,,,,,,,,,,"We were attacked by Red Demon while delivering","","","","","","","I thank you again.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"textiles and they robbed us of all our silk!","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Although they'll batch top warriors later on, we ","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"won't be able to finish making the clothes just by","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"waiting for them, and that's the problem.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"By the way..","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"I'm asking you to do this because I know you're","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"my brother's best friend. I know it's not easy","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"but can you recover the silk goods?","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"I will surely pay you. I'm asking for a favor.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
27,"[Way of Killer] Getting the reply from Yayuelgun.",28,2,10,28,1,6,0,0,0,0,41,84,0,0,0,0,41,515,516,0,0,4,19488,"All I'm asking you to do is...","Road to Chenum Stone Cave isn't easy to find.","Good heavens?!! Who is this?!!","","","","","Um.. Thank you so much for your trouble..","","If you have time, can you come and see me?"
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"Can you go to Chenum Stone Cave and come back?","Inside the cave is dark and the enemies will lie ","I had no idea you're the one that he sent.","","","","","For a fact, my presumptions were correct..","","Its not that far.."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"If you go there, your very close friend, Yayuelgun","in ambush, so be sure to be cautious..","Good to see you! I heard that you were injured,","","","","","According to Yayuelgun, it wasn't Yaoguai ","","just need to bring the reply."
--,,,,,,,,,,,,,,,,,,,,,,,,,"should be waiting there for my orders.","Go to Chenum Stone Cave and give this letter to ","but you look well now..  That's really good..","","","","","who broke that magic barrier in Baekmogok Valley.","","I believe it will not take that long."
--,,,,,,,,,,,,,,,,,,,,,,,,,"Go and give him this letter.","Yayuelgun and get the reply and bring it to me.","I heard that you helped my sister,","","","","","Don't be surprised..","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"When you do, he will give a reply..","","Wayul.. I thank you so kindly.","","","","","It was Bukdoseong who broke the Magic Barrier.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"You just have to bring that reply back to me.","","I want to have a drink with you, but as you can","","","","","The Bukdoseong is lead by 'Rabbi Hopae'","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"It's urgent, so you should hurry back.","","see, its not a suitable place for that..","","","","","who's as good as Legendary Five Leading Warriors!","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","Next time, the drink is on me..  Ha Ha Ha..","","","","","The task is becoming more complicated.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","I know that its not easy, but give this letter","","","","","What is Rabbi Hopae thinking..?","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","to Mr. Jangson. Do me this favor, my friend..","","","","","This matter should be dealt more cautiously.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","I'm so happy that you're here.. ","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
28,"[Way of Killer] Stab and kill Bronze Monster",30,2,11,29,1,5,7,608,9,4294967053,22,0,0,0,0,0,22,908,1,0,0,6,492,"According to the report, there seems to be some","Bronze Monster shows up in ruined village at the","","","","","","Hmm, 'Our Child'..","","Come over here."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"suspicious group of monks in Manpok Falls.","lower entrance of Manpok Falls Amhang Valley.","","","","","","So, that is what he said¡¦?","","Its been awhile since the last assassination."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"Bronze Monster is in command of their group.","You must kill  that wicked monk.","","","","","","Is this 'that' secret you've been keeping inside?","","Its only a wicked monk!! Kill him!!"
--,,,,,,,,,,,,,,,,,,,,,,,,,"Imaged as a monk, but not a suitable monk, ","Because it is also a fight with your 'past'..","","","","","","No one will know that battling your past ties ","","Come and see me when you complete the mission."
--,,,,,,,,,,,,,,,,,,,,,,,,,"is just a dumbfounded fellow.","","","","","","","could be a tough test..","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Warriors of main fortress were outwitted by him..","","","","","","","However, just remember one thing.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"I will order for an assassination.","","","","","","","Believe in yourself.. Think of what","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"The lower part of Manpok Falls Amhang Valley","","","","","","","I am saying thoroughly ..","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"is the place that Bronze Monster shows up often.","","","","","","","I'm giving you the Vitality Pill for your future.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Kill him!!","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"This is not just an assassination ordre, but its","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"to certainly sever ties of your 'past'!!  ","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
29,"[Way of Killer] The whereabouts of Neung Im .",32,2,12,30,1,7,0,0,0,0,22,26,30,37,0,0,65,0,0,0,0,1,0,"Hmm.. How could have this happened..","This is strictly confidential.","The lady has disappeared?","Hmm..  ","Huh Huh..","","","The lovely maiden? I definitely saw her.","","Since it's an urgent matter, come quickly!!"
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"Mr. Doje's precious daughter, ","the bride that disappeared just before her wedding","Impossible. She seemed fine, even until yesterday.","The lady did give me something a few days ago..","She definitely came to me early this morning. She ","","","Ha. I thought she was a fairy from heaven.","","um.. who will show up today..?"
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"Lady Neung Im is missing.","can be the talk of the town, so watch your mouth.","She seemed a little depressed past few days.","However, I can't not tell you what it was.","said that she had to go somewhere far for a short ","","","Of course I know where she was headed..","","I have a feeling something bad will happen today."
--,,,,,,,,,,,,,,,,,,,,,,,,,"How could a bride-to-be disappear..","Quick, go meet Wayul and return!!","I'm asking, was there sign of unusualness..?","If a trust between the lady and I..","while, so I lend her my trusty Cheoli Bi.","","","There is no such thing as a free lunch?","","Somehow I have a bad feeling.."
--,,,,,,,,,,,,,,,,,,,,,,,,,"Ryeon Master is in a ill mood due to the incident.","","Hmm..","She has already took it back early this morning.","I'm talking about the Cheoli Bi, far superior than ","","","If you do me a favor, I will tell you","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Go and meet Wayul this instant.","","Come to think of it she did ask me where she ","That was the last time I saw her..","strange one Takyugi possesses.. Ha ha ha !!","","","where she is.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Since Wayul is well-acquainted with the lady,  ","","should go if she wanted to 'store' something..","You're asking if there was anything unusual¡¦?","Huh?  You're asking if there was anything unusual?","","","You don't want to?","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"he at least should know her whereabouts.","","","She said that she needed to go somewhere far and","That reminds me, she did ask me where would she go ","","","You don't have to do it! It's your loss, not mine.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"If the word gets around the palace it will not do ","","","asked what would be the fastest way to travel.","to find 'Master Samgwan'..","","","Hee hee hee..  are you angry?","",""
--,,,,,,,,,,,,,,,,,,,,,,,,," any good, so settle this in a quiet manner..","","","","Why did she need to find Master Samgwan..?","","","Stare at me all you want but it's no use! Hee hee.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","If that old man's temper gets worse, ","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","that would be a disappointment..","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
30,"[Way of Killer] Obtain the King Liquor Bottle.",32,2,13,31,1,2,0,0,0,0,65,0,0,0,0,0,65,517,0,0,0,4,14068,"What I'm asking you to do is not that difficult.","Even I don't know who could have stolen it.","","","","","","oh oh..","","How about it..?  Will you take my offer?"
--,,,,,,,,,,,,,,,,,,,,,,,6,150,"Everyone in The World knows that ","I did receive the news that one of the ","","","","","","You really retrieved it..","","Retrieving the king's liquor bottle isn't easy.."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"I have a hobby of collecting antiques.","Fly Killer has this liquor bottle.","","","","","","Now, I will be able to wash the guilt of ","","Likewise, is the task that is set, difficult?"
--,,,,,,,,,,,,,,,,,,,,,,,,,"Not as much as those old beggars though.","They are so vicious that the men that I hired","","","","","","disgracing the family.  I truly thank you.","","Huh Huh Huh.. Don't take too long.."
--,,,,,,,,,,,,,,,,,,,,,,,,,"However, I lost some of my valued antiques couple ","were all killed..","","","","","","It means I have to keep the promise to you too.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"of days ago. Can your retrieve those antiques?","","","","","","","This is a small token of gratitude. Take it.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"I don't care about the items except one. ","","","","","","","I will tell you the whereabouts of that lady.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Find the 'king liquor bottle'. ","","","","","","","She is at Chenum Stone Cave right now.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"The emperor personally designed the pattern on it.","","","","","","","Men dressed in strange attire left a message for  ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"It's a valuable antique and a family treasure","","","","","","","you saying that they had escorted her there. ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"given to my great-grandfather by former emperor.","","","","","","","That's all that I know.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Find it, and I will not only tell you where the","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"lady is, but reward you handsomely.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"One of the Fly Killer supposedly ","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"have possession of this liquor bottle..","","","","","","","","",""
31,"[Way of Killer] Delivery of the letter to Sangwan.",32,2,14,32,1,3,0,0,0,0,65,0,0,0,0,0,22,518,0,0,0,6,31041,"That reminds me, they left one letter.","What are you still doing here?","","","","","","Um.. Good work.","","Ah.. That tells me, I have something to give you."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"I almost forgot about the important trace.","The deal between you and I has already ended.","","","","","","This letter says that ","","We should've got a word on the lady's whereabouts."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"Huh Huh Huh..","I'm very busy now, so be on your way.","","","","","","she is held captive in Muhan Cave.","","Not yet..? Its getting a bit late."
--,,,,,,,,,,,,,,,,,,,,,,,,,"Take this letter and give it to Sangwan.","","","","","","","If the marriage between the Guanyin and Fujin","","Its taking longer than I thought."
--,,,,,,,,,,,,,,,,,,,,,,,,,"Well then, this I must be going..","","","","","","","isn't broken off, she will be danger.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","Who on earth are they?","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","If it's not Yaoguai, rabbi or Hopae's","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","Bukdo Fortress.Could there be another force?","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","This problem is getting more and more complicated.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","I don't know who they are but they must be mad.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","I will discuss it with Mo. As for you,","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","take a rest. I will call for you again.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","Take this. It can be vital in the future.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
32,"[Way of Killer] The Rescue Operation",34,2,15,33,1,1,0,0,0,0,22,0,0,0,0,0,84,268,40,0,0,4,64592,"I'll come straight to the point.","Get a move on!!","","","","","","Actually, I was waiting for you to come.","","Finally, the time has come!! Come this way!!"
--,,,,,,,,,,,,,,,,,,,,,,,6,150,"Go to Muhan Cave!!","The lady's safety is on the line.","","","","","","We have found out where the lady was being held, ","","Its almost time for the reinforcement to get here."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"To rescue Neung Im, a group of our elite killers ","Go to Chenum Stone Cave and once you kill the ","","","","","","so don't worry!! My rescue team will join forces","","Not yet? We quickly need to rescue the lady¡¦"
--,,,,,,,,,,,,,,,,,,,,,,,,,"has already set out for Chenum Stone Cave.","Buckethead, see Yayuelgun and tell him!","","","","","","escort the lady back to the main fortress!!","","It's taking awhile.. they need to hurry.."
--,,,,,,,,,,,,,,,,,,,,,,,,,"Guard the Chenum Stone Cave so our killers can","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"rescue the lady and kill the monsters.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"They're in alliance with the Dongmundo, ","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"so make sure to kill each and every one of them.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Once you kill the Buckethead, you need to ","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"see Yayuelgun who knows the area and tell him ","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"to join the rescue team.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Leave quickly!!","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
33,"[Way of Killer] Obtaining the 'Blessed Jade'.",36,2,16,34,1,2,0,0,0,0,27,0,0,0,0,0,27,519,0,0,0,6,31173,"Eh.. it is nothing more than..","I travelled all over the world and was obsessed ","","","","","","Oh oh oh.. Is it really.. I truly thank you..","","Need to have a little word with you.."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"The rumor has it that you are a talented  killer.","with antiques. I was even greedy for food so I  ","","","","","","Now I can hold a memorial service for my daughter.","","Let's see how good Sangwan's apprentice is."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"On that account, can I ask you for a favor?","can get get some of guilt off my chest.","","","","","","Thank you again.","","This should be interesting.."
--,,,,,,,,,,,,,,,,,,,,,,,,,"I may be a beggar now, but I used to be an ","That was just burying my head in the sand.","","","","","","Think of this as a small token of your gratitude.","","By all means, do not disappoint me. He, he."
--,,,,,,,,,,,,,,,,,,,,,,,,,"ordinary person with one daughter.","I stopped wandering around, but I remained in ","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"She was the reason of my life, but sadly she's ","Padsong Fortress as a beggar because I knew  ","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"not in this world anymore","someone like you would come along.","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"The violent huge arm black apes are just...","Please do this for this old wretched man..","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Although I can barely remember the incident,  ","Get the 'Nine Scents Jade', a memento of my  ","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"I can't forget the guilt that I hold for not  ","daughter, from the huge arm black ape.","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"being able to hold a memorial service for her..","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"That's why I'm thinking asking you for a request.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Get the nine scents jade from the huge arm black ","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"apes. It was my daughter's favorite.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"With it, I can hold a memorial service for her.","","","","","","","","",""
34,"[Way of Killer] Stab 'jokul monster' to death.",38,2,17,35,1,5,7,301,4294967276,4294963305,22,0,0,0,0,0,22,909,1,0,0,4,62619,"I know that you have destroyed the Gorillai's  ","Jokul monster is near the bridge in front of the, ","","","","","","You did a very good job.","","I need to have a little word with you."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"territory as requested by Jangjuk.","Ghost Room checkpoint south part of Manpok Falls.","","","","","","It seems that you became a killer once more.","","it won't be that easy.."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"I'm not trying to question you regarding issue..","You are the cause, so take care of it.","","","","","","It seems that the Qi will hold us in check.","","Its same as a monkey imitating a human. Kill them!"
--,,,,,,,,,,,,,,,,,,,,,,,,,"The leader of Gorillai, jokul monster,","","","","","","","But it's a good thing you have recovered quickly.","","I'll waiting for good news at the main fortress."
--,,,,,,,,,,,,,,,,,,,,,,,,,"was spotted in Manpok Falls to get revenge on ","","","","","","","Saho the assassin have recovered, and is trying to","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"the invasion of their territory.","","","","","","","have a revenge. He seems stronger than before.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Neighboring villages have suffered great loss. ","","","","","","","It seems that they will try to harm you, so from ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Regardless of the motive, it all started because ","","","","","","","now on, take better care of yourself. ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"of you, so you should take care of it.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Go and dispose of jokul monster.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"You got most of your strength back, so","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"I believe you will be able to do the job.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Go to bridge near Ghost Room checkpoint south ","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"of Manpok Falls.That's where jokul monster is.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
35,"[Way of Killer] Disposal of Ice Monster.",40,2,18,70,2,5,7,4294965206,0,4294963451,30,0,0,0,0,0,30,910,1,0,0,5,2,"Good to see you again. Ho ho ho..","It's the village southwest of Manpok Falls.","","","","","","Ho ho ho ho..","Ho ho ho..","Can I have a little word with you..? Ho ho ho ho.."
--,,,,,,,,,,,,,,,,,,,,,,,4,93709,"Actually, I've been observing you carefully. ","There, you will be able to find Ice Monster..","","","","","","Thanks. You fought a tough battle.","Actually, it could have been a bit too much..","Can he do it? I should observed him a little more."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"Trying so hard to get out of it despite of cursed ","You will have to search well.","","","","","","So how is to find out a piece of your past","Thanks for your help. It seems that the task a","He's an interesting man. Don't disappoint me"
--,,,,,,,,,,,,,,,,,,,,,,,,,"fate.. Ho ho ho..","","","","","","","that you didn't even know about?","a little unbearable.. Don't be too discouraged..","That kid's future should be interesting.. Ho ho."
--,,,,,,,,,,,,,,,,,,,,,,,,,"Ah.. Don't look at me that way..","","","","","","","You must be confused, but compared to what lay ","Regarding that task, I will ask someone else..",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"It doesn't matter because I'm used bo being alone.","¡¯","¡¯","¡¯","¡¯","¡¯","","ahead of you, this is nothing.. Ho ho ho ho...","You keep this old mans interest in many ways..",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Anyway, the reason I called for you is to ","","","","","","","Anyway, thank you for your trouble..","I'm interested in your past as well as  your",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"ask you for a favor.","","","","","","","For some reason your future interests me.","future.. Continue making me happy",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Have you heard of the Ice Monster?","","","","","","","Continue making this old man happy..","Ho ho ho ho..",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"The enchantress, the leader of ice demon, went to ","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"the village southwest of Manpok Falls in ruins.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Go to the ruined village and dispose of her..","","","","","","","","",""
